ID,cluster,cluster16,img
h_565scop00143,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00143/h_565scop00143ps.jpg
h_565scop00145,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00145/h_565scop00145ps.jpg
h_565scop00148,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00148/h_565scop00148ps.jpg
h_565scop00156,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00156/h_565scop00156ps.jpg
h_565scop00158,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00158/h_565scop00158ps.jpg
h_565scop00171,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00171/h_565scop00171ps.jpg
h_565scop00173,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00173/h_565scop00173ps.jpg
h_565scop00181,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00181/h_565scop00181ps.jpg
h_565scop00186,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00186/h_565scop00186ps.jpg
h_565scop00204,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00204/h_565scop00204ps.jpg
h_565scop00207,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00207/h_565scop00207ps.jpg
h_565scop00211,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00211/h_565scop00211ps.jpg
h_565scop00212,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00212/h_565scop00212ps.jpg
h_565scop00213,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00213/h_565scop00213ps.jpg
h_565scop00218,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00218/h_565scop00218ps.jpg
h_565scop00233,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00233/h_565scop00233ps.jpg
h_565scop00234,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00234/h_565scop00234ps.jpg
h_565scop00240,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00240/h_565scop00240ps.jpg
h_565scop00241,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00241/h_565scop00241ps.jpg
h_565scop00265,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/h_565scop00265/h_565scop00265ps.jpg
hjmo00208,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/hjmo00208/hjmo00208ps.jpg
